"Metric","Mean_AL","Q1_AL","Q3_AL","Mean_CS","Q1_CS","Q3_CS","Mean_Diff","t_value","p_value","Signif"
"MLS",27.799,24.482,30.036,24.705,21.551,28.042,3.094,4.025,8e-05,"***"
"MLT",26.144,22.243,28.75,23.468,20.094,26.036,2.677,3.413,8e-04,"***"
"MLC",16.813,14,19,16.042,13.615,17.651,0.77,1.434,0.15326,"n.s."
"C_S",1.703,1.429,1.857,1.596,1.277,1.857,0.107,1.932,0.05474,"n.s."
"VP_T",2.493,2,2.808,2.266,1.889,2.6,0.228,2.417,0.01663,"*"
"C_T",1.594,1.365,1.75,1.511,1.245,1.718,0.083,1.645,0.10158,"n.s."
"DC_C",0.349,0.267,0.42,0.31,0.214,0.4,0.039,2.078,0.03897,"*"
"DC_T",0.59,0.375,0.75,0.511,0.25,0.667,0.079,1.708,0.08919,"n.s."
"T_S",1.077,1,1.149,1.058,1,1.115,0.019,1.003,0.31751,"n.s."
"CT_T",0.453,0.333,0.571,0.396,0.222,0.56,0.057,1.857,0.06478,"n.s."
"CP_T",1.016,0.667,1.25,0.667,0.394,0.875,0.349,5.529,0,"***"
"CP_C",0.659,0.426,0.805,0.469,0.25,0.628,0.191,4.434,2e-05,"***"
"CN_T",4.05,3.356,4.679,3.481,2.843,4,0.569,3.983,1e-04,"***"
"CN_C",2.608,2.083,3.025,2.367,1.873,2.667,0.241,2.498,0.01331,"*"
