filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_001.txt,171,24.42857143,24.42857143,14.25,1.714285714,2,1.714285714,0.416666667,0.714285714,1,0.571428571,1.142857143,0.666666667,3.428571429,2
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_002.txt,118,29.5,29.5,13.11111111,2.25,3.25,2.25,0.555555556,1.25,1,0.75,0.75,0.333333333,5.75,2.555555556
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_003.txt,184,26.28571429,26.28571429,15.33333333,1.714285714,2.571428571,1.714285714,0.416666667,0.714285714,1,0.571428571,1,0.583333333,4.714285714,2.75
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_004.txt,186,31,31,26.57142857,1.166666667,2.333333333,1.166666667,0.142857143,0.166666667,1,0.166666667,0.833333333,0.714285714,4.333333333,3.714285714
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_005.txt,174,29,24.85714286,19.33333333,1.5,2,1.285714286,0.333333333,0.428571429,1.166666667,0.428571429,1.857142857,1.444444444,3.428571429,2.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_006.txt,184,26.28571429,23,15.33333333,1.714285714,1.75,1.5,0.25,0.375,1.142857143,0.25,1,0.666666667,4,2.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_007.txt,184,26.28571429,23,15.33333333,1.714285714,1.75,1.5,0.25,0.375,1.142857143,0.25,1,0.666666667,4,2.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_008.txt,181,25.85714286,22.625,20.11111111,1.285714286,1.875,1.125,0,0,1.142857143,0,1.25,1.111111111,2.5,2.222222222
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_009.txt,172,34.4,34.4,14.33333333,2.4,3.8,2.4,0.666666667,1.6,1,0.8,1,0.416666667,5.4,2.25
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_010.txt,121,20.16666667,20.16666667,13.44444444,1.5,2,1.5,0.333333333,0.5,1,0.5,0.5,0.333333333,3.833333333,2.555555556
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_011.txt,110,55,27.5,27.5,2,2.25,1,0.25,0.25,2,0.5,1,1,4.75,4.75
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_012.txt,177,29.5,25.28571429,13.61538462,2.166666667,2.428571429,1.857142857,0.461538462,0.857142857,1.166666667,0.571428571,0.714285714,0.384615385,4.428571429,2.384615385
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_013.txt,172,43,34.4,17.2,2.5,3.8,2,0.5,1,1.25,0.6,1.6,0.8,4.8,2.4
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_014.txt,180,25.71428571,22.5,16.36363636,1.571428571,2.5,1.375,0.272727273,0.375,1.142857143,0.25,0.875,0.636363636,3.875,2.818181818
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_015.txt,161,26.83333333,26.83333333,12.38461538,2.166666667,3.333333333,2.166666667,0.538461538,1.166666667,1,0.666666667,0.833333333,0.384615385,3.666666667,1.692307692
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_016.txt,169,28.16666667,28.16666667,18.77777778,1.5,2.833333333,1.5,0.333333333,0.5,1,0.5,1.166666667,0.777777778,4,2.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_017.txt,108,18,18,12,1.5,1.5,1.5,0.333333333,0.5,1,0.5,0.666666667,0.444444444,2.666666667,1.777777778
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_018.txt,174,24.85714286,24.85714286,17.4,1.428571429,2.142857143,1.428571429,0.3,0.428571429,1,0.428571429,0.571428571,0.4,4.142857143,2.9
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_019.txt,181,25.85714286,20.11111111,13.92307692,1.857142857,2,1.444444444,0.384615385,0.555555556,1.285714286,0.444444444,0.444444444,0.307692308,3.555555556,2.461538462
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_020.txt,127,42.33333333,63.5,25.4,1.666666667,4,2.5,0.6,1.5,0.666666667,1,3,1.2,9.5,3.8
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_021.txt,181,36.2,36.2,20.11111111,1.8,4,1.8,0.222222222,0.4,1,0.4,0.8,0.444444444,6.6,3.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\Human_022.txt,162,40.5,40.5,18,2.25,2.75,2.25,0.555555556,1.25,1,0.75,2.75,1.222222222,5.75,2.555555556
