filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C,poss_all_nominal_deps_struct,vmod_all_nominal_deps_struct,det_all_nominal_deps_NN_struct,amod_all_nominal_deps_NN_struct,prep_all_nominal_deps_NN_struct,nn_all_nominal_deps_NN_struct,rcmod_all_nominal_deps_NN_struct,advcl_per_cl,ccomp_per_cl,CRFNO1,CRFAO1,CRFSO1,CRFCWO1,LSASS1,LSAGN,CNCCaus,CNCLogic,CNCTemp,RDFRE,RDFKGL,RDL2,Author_Type
short\ai_001,182,26,26,16.54545455,1.571428571,2.714285714,1.571428571,0.363636364,0.571428571,1,0.428571429,2,1.272727273,3.714285714,2.363636364,0.0181818181818,0.0545454545455,0.2,0.436363636,0.218181818,0.236363636,0.0363636363636,0,0.142857143,0.833000004291534,0.833000004291534,0.833000004291534,0.127000004053116,0.38400000333786,0.323000013828278,16.5750007629395,22.0990009307861,16.5750007629395,0,20.1119995117188,2.55100011825562,AI
short\ai_002,151,21.57142857,16.77777778,12.58333333,1.714285714,1.777777778,1.333333333,0.25,0.333333333,1.285714286,0.222222222,0.777777778,0.583333333,2.888888889,2.166666667,0,0.0444444444444,0.227272727,0.568181818,0.25,0.113636364,0,0.0526315789474,0.157894737,0.5,0.666999995708466,0.833000004291534,0.0750000029802322,0.330000013113022,0.303999990224838,20,20,6.66699981689453,0,18.9629993438721,1.85300004482269,AI
short\ai_003,173,21.625,21.625,15.72727273,1.375,2.125,1.375,0.272727273,0.375,1,0.25,0.625,0.454545455,3.625,2.636363636,0,0.0384615384615,0.274509804,0.607843137,0.31372549,0.196078431,0.0196078431373,0,0.0952380952381,0.28600001335144,0.570999979972839,0.570999979972839,0.0359999984502792,0.335999995470047,0.328000009059906,34.681999206543,23.121000289917,5.78000020980835,4.94099998474121,17.9419994354248,0.871999979019165,AI
short\ai_004,158,22.57142857,22.57142857,17.55555556,1.285714286,2.142857143,1.285714286,0.222222222,0.285714286,1,0.285714286,1.571428571,1.222222222,3.714285714,2.888888889,0.0196078431373,0.0392156862745,0.26,0.44,0.32,0.16,0.02,0.0625,0.0625,0.5,0.666999995708466,0.666999995708466,0.0439999997615814,0.340000003576279,0.296999990940094,19.1079998016357,25.4780006408691,12.7390003204346,0,19.8369998931885,-1.442999959,AI
short\ai_005,159,22.71428571,22.71428571,15.9,1.428571429,2.285714286,1.428571429,0.4,0.571428571,1,0.571428571,1.571428571,1.1,3.428571429,2.4,0.0172413793103,0.0172413793103,0.160714286,0.303571429,0.285714286,0.232142857,0.0535714285714,0,0,0.5,0.5,0.5,0.063000001013279,0.323000013828278,0.31700000166893,18.9869995117188,18.9869995117188,6.3289999961853,0.765999972820282,18.7600002288818,2.47199988365173,AI
short\ai_006,146,18.25,18.25,14.6,1.25,1.5,1.25,0.2,0.25,1,0.25,0.875,0.7,2.875,2.3,0.0222222222222,0.133333333,0.166666667,0.5,0.166666667,0.214285714,0.0238095238095,0,0.105263158,0.14300000667572,0.14300000667572,0.28600001335144,0.0209999997168779,0.23199999332428,0.243000000715256,20.6900005340576,27.5860004425049,0,0,18.9850006103516,-3.437999964,AI
short\ai_007,151,21.57142857,25.16666667,18.875,1.142857143,2,1.333333333,0.25,0.333333333,0.857142857,0.166666667,1.5,1.125,4.5,3.375,0,0,0.234042553,0.531914894,0.446808511,0.212765957,0.0212765957447,0,0.142857143,0.333000004291534,0.333000004291534,0.5,0.0469999983906746,0.310999989509583,0.312000006437302,26.6669998168945,20,0,0,19.0459995269775,1.07400000095367,AI
short\ai_008,151,21.57142857,21.57142857,18.875,1.142857143,1.857142857,1.142857143,0.125,0.142857143,1,0.142857143,1.571428571,1.375,3.285714286,2.875,0.0208333333333,0,0.195652174,0.543478261,0.369565217,0.173913043,0.0217391304348,0,0,0.166999995708466,0.166999995708466,0.5,0.0120000001043081,0.310999989509583,0.300999999046326,26.4899997711182,26.4899997711182,6.6230001449585,0,20.9540004730225,-1.330000043,AI
short\ai_009,157,22.42857143,22.42857143,15.7,1.428571429,2.285714286,1.428571429,0.3,0.428571429,1,0.428571429,0.857142857,0.6,4,2.8,0.0212765957447,0.0212765957447,0.239130435,0.347826087,0.239130435,0.195652174,0.0217391304348,0,0.166666667,0.166999995708466,0.333000004291534,0.666999995708466,0.0299999993294477,0.326999992132187,0.330000013113022,25.4780006408691,38.2169990539551,12.7390003204346,0,19.613000869751,2.16499996185303,AI
short\ai_010,151,21.57142857,21.57142857,18.875,1.142857143,1.857142857,1.142857143,0.125,0.142857143,1,0.142857143,1.428571429,1.25,3.142857143,2.75,0.0204081632653,0.0408163265306,0.173913043,0.630434783,0.413043478,0.152173913,0.0217391304348,0,0.0714285714286,0.5,0.5,0.666999995708466,0.0540000014007092,0.333000004291534,0.307000011205673,40.5410003662109,33.7840003967285,13.5139999389648,0,20.2439994812012,-2.032999992,AI
short\ai_011,141,23.5,23.5,20.14285714,1.166666667,2,1.166666667,0.285714286,0.333333333,1,0.333333333,1.166666667,1,4.333333333,3.714285714,0,0.0222222222222,0.272727273,0.431818182,0.409090909,0.136363636,0,0,0.0769230769231,0,0,0.600000023841858,0.0659999996423721,0.252999991178513,0.256000012159348,28.7770004272461,21.5830001831055,21.5830001831055,0,19.5939998626709,-3.203999996,AI
short\ai_012,142,23.66666667,23.66666667,20.28571429,1.166666667,1.833333333,1.166666667,0.142857143,0.166666667,1,0.166666667,1.166666667,1,3.833333333,3.285714286,0,0.0666666666667,0.266666667,0.488888889,0.333333333,0.244444444,0,0,0.0666666666667,0.400000005960464,0.400000005960464,0.600000023841858,0.0759999975562096,0.400999993085861,0.316000014543533,14.085000038147,14.085000038147,0,0,19.7299995422363,2.17799997329712,AI
