filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C,nwords,poss_all_nominal_deps_struct,vmod_all_nominal_deps_struct,det_all_nominal_deps_NN_struct,amod_all_nominal_deps_NN_struct,prep_all_nominal_deps_NN_struct,nn_all_nominal_deps_NN_struct,rcmod_all_nominal_deps_NN_struct,nwords,advcl_per_cl,ccomp_per_cl,CRFNO1,CRFAO1,CRFSO1,CRFCWO1,LSASS1,LSAGN,CNCCaus,CNCLogic,CNCTemp,RDFRE,RDFKGL,RDL2
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_135,171,24.42857143,24.42857143,14.25,1.714285714,2.0,1.714285714,0.416666667,0.714285714,1.0,0.571428571,1.142857143,0.666666667,3.428571429,2.0,171,0.0357142857143,0.0178571428571,0.178571429,0.303571429,0.267857143,0.142857143,0.0178571428571,171,0.0,0.0666666666667,0.85699999332428,0.85699999332428,0.85699999332428,0.0860000029206276,0.259999990463257,0.287000000476837,25.0,35.0,25.0,31.2950000762939,15.1049995422363,7.09999990463257
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_121,118,29.5,29.5,13.11111111,2.25,3.25,2.25,0.555555556,1.25,1.0,0.75,0.75,0.333333333,5.75,2.555555556,118,0.0540540540541,0.027027027,0.277777778,0.472222222,0.333333333,0.111111111,0.0833333333333,118,0.0,0.0666666666667,0.833000004291534,1.0,1.0,0.194000005722046,0.488999992609024,0.391000002622604,10.1009998321533,15.1520004272461,10.1009998321533,38.3660011291504,14.9350004196167,14.8979997634888
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_109,184,26.28571429,26.28571429,15.33333333,1.714285714,2.571428571,1.714285714,0.416666667,0.714285714,1.0,0.571428571,1.0,0.583333333,4.714285714,2.75,184,0.0,0.037037037,0.288461538,0.442307692,0.25,0.269230769,0.0384615384615,184,0.105263158,0.157894737,0.666999995708466,0.666999995708466,0.833000004291534,0.10700000077486,0.47299998998642,0.391000002622604,14.7779998779297,4.92600011825562,0.0,10.7379999160767,18.9659996032715,6.96600008010864
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_041,186,31.0,31.0,26.57142857,1.166666667,2.333333333,1.166666667,0.142857143,0.166666667,1.0,0.166666667,0.833333333,0.714285714,4.333333333,3.714285714,186,0.0392156862745,0.0588235294118,0.367346939,0.244897959,0.367346939,0.285714286,0.0204081632653,186,0.0555555555556,0.0,0.666999995708466,0.666999995708466,0.666999995708466,0.136000007390976,0.384999990463257,0.328999996185303,33.6539993286133,28.8460006713867,9.61499977111816,13.1429996490479,18.8080005645752,11.0749998092651
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_055,174,29.0,24.85714286,19.33333333,1.5,2.0,1.285714286,0.333333333,0.428571429,1.166666667,0.428571429,1.857142857,1.444444444,3.428571429,2.666666667,174,0.0192307692308,0.0576923076923,0.145833333,0.416666667,0.375,0.166666667,0.0,174,0.0666666666667,0.266666667,0.5,0.666999995708466,0.833000004291534,0.0549999997019768,0.254000008106232,0.30799999833107,20.6189994812012,51.5460014343262,20.6189994812012,20.8419990539551,17.2369995117188,6.76300001144409
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_069,184,26.28571429,23.0,15.33333333,1.714285714,1.75,1.5,0.25,0.375,1.142857143,0.25,1.0,0.666666667,4.0,2.666666667,184,0.0178571428571,0.0,0.37037037,0.407407407,0.37037037,0.166666667,0.037037037,184,0.0,0.133333333,0.777999997138977,0.888999998569489,0.888999998569489,0.229000002145767,0.24600000679493,0.294999986886978,21.5049991607666,26.8819999694824,16.128999710083,20.617000579834,15.003999710083,15.2180004119873
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_082,184,26.28571429,23.0,15.33333333,1.714285714,1.75,1.5,0.25,0.375,1.142857143,0.25,1.0,0.666666667,4.0,2.666666667,184,0.0178571428571,0.0,0.37037037,0.407407407,0.37037037,0.166666667,0.037037037,184,0.0,0.133333333,0.666999995708466,0.833000004291534,0.833000004291534,0.112000003457069,0.375999987125397,0.331000000238419,16.0429992675781,21.3899993896484,21.3899993896484,20.5030002593994,17.0359992980957,8.4040002822876
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_096,181,25.85714286,22.625,20.11111111,1.285714286,1.875,1.125,0.0,0.0,1.142857143,0.0,1.25,1.111111111,2.5,2.222222222,181,0.1,0.05,0.131578947,0.368421053,0.210526316,0.526315789,0.0,181,0.0526315789474,0.105263158,0.71399998664856,0.71399998664856,1.0,0.135000005364418,0.331999987363815,0.361999988555908,26.4549999237061,37.0369987487793,5.29099988937378,23.9769992828369,15.7840003967285,8.98299980163574
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_097,172,34.4,34.4,14.33333333,2.4,3.8,2.4,0.666666667,1.6,1.0,0.8,1.0,0.416666667,5.4,2.25,172,0.04,0.06,0.25,0.416666667,0.208333333,0.1875,0.0625,172,0.0952380952381,0.238095238,0.5,0.75,0.75,0.111000001430511,0.342000007629395,0.272000014781952,15.1520004272461,7.57600021362305,15.1520004272461,5.08599996566772,19.1079998016357,0.165000006556511
\\mac\home\desktop\语料处理+代码\taassc_input_human_short\human_083,121,20.16666667,20.16666667,13.44444444,1.5,2.0,1.5,0.333333333,0.5,1.0,0.5,0.5,0.333333333,3.833333333,2.555555556,121,0.0789473684211,0.0526315789474,0.257142857,0.485714286,0.285714286,0.0571428571429,0.0571428571429,121,0.0,0.0,1.0,1.0,1.0,0.163000002503395,0.395000010728836,0.324999988079071,10.2040004730225,30.6119995117188,25.5100002288818,5.74599981307983,19.4139995574951,11.8970003128052
