filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_001.txt, 182, 26.0,26.0,16.5454545455,1.57142857143,2.71428571429,1.57142857143,0.363636363636,0.571428571429,1.0,0.428571428571,2.0,1.27272727273,3.71428571429,2.36363636364
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_002.txt, 151, 21.5714285714,16.7777777778,12.5833333333,1.71428571429,1.77777777778,1.33333333333,0.25,0.333333333333,1.28571428571,0.222222222222,0.777777777778,0.583333333333,2.88888888889,2.16666666667
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_003.txt, 173, 21.625,21.625,15.7272727273,1.375,2.125,1.375,0.272727272727,0.375,1.0,0.25,0.625,0.454545454545,3.625,2.63636363636
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_004.txt, 158, 22.5714285714,22.5714285714,17.5555555556,1.28571428571,2.14285714286,1.28571428571,0.222222222222,0.285714285714,1.0,0.285714285714,1.57142857143,1.22222222222,3.71428571429,2.88888888889
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_005.txt, 159, 22.7142857143,22.7142857143,15.9,1.42857142857,2.28571428571,1.42857142857,0.4,0.571428571429,1.0,0.571428571429,1.57142857143,1.1,3.42857142857,2.4
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_006.txt, 146, 18.25,18.25,14.6,1.25,1.5,1.25,0.2,0.25,1.0,0.25,0.875,0.7,2.875,2.3
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_007.txt, 151, 21.5714285714,25.1666666667,18.875,1.14285714286,2.0,1.33333333333,0.25,0.333333333333,0.857142857143,0.166666666667,1.5,1.125,4.5,3.375
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_008.txt, 151, 21.5714285714,21.5714285714,18.875,1.14285714286,1.85714285714,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.57142857143,1.375,3.28571428571,2.875
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_009.txt, 157, 22.4285714286,22.4285714286,15.7,1.42857142857,2.28571428571,1.42857142857,0.3,0.428571428571,1.0,0.428571428571,0.857142857143,0.6,4.0,2.8
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_010.txt, 151, 21.5714285714,21.5714285714,18.875,1.14285714286,1.85714285714,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.42857142857,1.25,3.14285714286,2.75
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_011.txt, 141, 23.5,23.5,20.1428571429,1.16666666667,2.0,1.16666666667,0.285714285714,0.333333333333,1.0,0.333333333333,1.16666666667,1.0,4.33333333333,3.71428571429
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_012.txt, 142, 23.6666666667,23.6666666667,20.2857142857,1.16666666667,1.83333333333,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,1.16666666667,1.0,3.83333333333,3.28571428571
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_013.txt, 169, 24.1428571429,24.1428571429,21.125,1.14285714286,2.0,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.57142857143,1.375,2.42857142857,2.125
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_014.txt, 155, 25.8333333333,22.1428571429,15.5,1.66666666667,2.14285714286,1.42857142857,0.3,0.428571428571,1.16666666667,0.428571428571,1.42857142857,1.0,3.42857142857,2.4
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_015.txt, 114, 22.8,22.8,11.4,2.0,3.4,2.0,0.5,1.0,1.0,0.8,1.6,0.8,3.2,1.6
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_016.txt, 137, 34.25,45.6666666667,19.5714285714,1.75,4.33333333333,2.33333333333,0.428571428571,1.0,0.75,1.0,1.66666666667,0.714285714286,7.33333333333,3.14285714286
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_017.txt, 124, 24.8,24.8,12.4,2.0,2.4,2.0,0.4,0.8,1.0,0.8,2.2,1.1,4.0,2.0
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_018.txt, 113, 22.6,18.8333333333,16.1428571429,1.4,2.33333333333,1.16666666667,0.285714285714,0.333333333333,1.2,0.333333333333,1.16666666667,1.0,2.83333333333,2.42857142857
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_019.txt, 134, 26.8,26.8,14.8888888889,1.8,2.6,1.8,0.444444444444,0.8,1.0,0.6,1.8,1.0,3.8,2.11111111111
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_020.txt, 126, 25.2,21.0,14.0,1.8,2.16666666667,1.5,0.444444444444,0.666666666667,1.2,0.666666666667,1.33333333333,0.888888888889,3.16666666667,2.11111111111
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_021.txt, 127, 25.4,25.4,15.875,1.6,3.8,1.6,0.375,0.6,1.0,0.6,1.2,0.75,3.4,2.125
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_022.txt, 157, 26.1666666667,26.1666666667,15.7,1.66666666667,2.5,1.66666666667,0.5,0.833333333333,1.0,0.5,1.33333333333,0.8,5.0,3.0
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_023.txt, 123, 24.6,20.5,13.6666666667,1.8,2.16666666667,1.5,0.333333333333,0.5,1.2,0.333333333333,0.5,0.333333333333,3.16666666667,2.11111111111
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_024.txt, 134, 22.3333333333,26.8,14.8888888889,1.5,2.8,1.8,0.444444444444,0.8,0.833333333333,0.4,1.4,0.777777777778,4.6,2.55555555556
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_025.txt, 131, 18.7142857143,16.375,11.9090909091,1.57142857143,1.75,1.375,0.272727272727,0.375,1.14285714286,0.25,0.875,0.636363636364,2.5,1.81818181818
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_026.txt, 133, 22.1666666667,22.1666666667,12.0909090909,1.83333333333,3.0,1.83333333333,0.454545454545,0.833333333333,1.0,0.666666666667,1.0,0.545454545455,3.16666666667,1.72727272727
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_027.txt, 139, 27.8,27.8,12.6363636364,2.2,3.8,2.2,0.545454545455,1.2,1.0,1.0,1.8,0.818181818182,4.6,2.09090909091
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_028.txt, 138, 23.0,23.0,15.3333333333,1.5,2.5,1.5,0.333333333333,0.5,1.0,0.5,1.5,1.0,3.16666666667,2.11111111111
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_029.txt, 128, 25.6,25.6,14.2222222222,1.8,3.6,1.8,0.444444444444,0.8,1.0,0.8,1.6,0.888888888889,3.0,1.66666666667
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_030.txt, 140, 23.3333333333,23.3333333333,11.6666666667,2.0,2.66666666667,2.0,0.416666666667,0.833333333333,1.0,0.666666666667,0.833333333333,0.416666666667,3.16666666667,1.58333333333
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_031.txt, 157, 22.4285714286,22.4285714286,19.625,1.14285714286,2.14285714286,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.57142857143,1.375,3.57142857143,3.125
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_032.txt, 155, 22.1428571429,22.1428571429,14.0909090909,1.57142857143,2.71428571429,1.57142857143,0.363636363636,0.571428571429,1.0,0.571428571429,2.14285714286,1.36363636364,2.71428571429,1.72727272727
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_033.txt, 165, 23.5714285714,23.5714285714,20.625,1.14285714286,2.0,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.14285714286,1.0,4.42857142857,3.875
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_034.txt, 152, 21.7142857143,21.7142857143,12.6666666667,1.71428571429,2.14285714286,1.71428571429,0.416666666667,0.714285714286,1.0,0.571428571429,1.57142857143,0.916666666667,3.28571428571,1.91666666667
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_035.txt, 158, 22.5714285714,22.5714285714,14.3636363636,1.57142857143,2.42857142857,1.57142857143,0.363636363636,0.571428571429,1.0,0.428571428571,1.42857142857,0.909090909091,3.71428571429,2.36363636364
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_036.txt, 159, 22.7142857143,22.7142857143,13.25,1.71428571429,2.57142857143,1.71428571429,0.416666666667,0.714285714286,1.0,0.428571428571,1.0,0.583333333333,3.42857142857,2.0
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_037.txt, 160, 22.8571428571,20.0,16.0,1.42857142857,1.875,1.25,0.2,0.25,1.14285714286,0.25,0.875,0.7,2.875,2.3
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_038.txt, 160, 22.8571428571,22.8571428571,16.0,1.42857142857,2.57142857143,1.42857142857,0.3,0.428571428571,1.0,0.428571428571,1.28571428571,0.9,2.57142857143,1.8
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_039.txt, 165, 23.5714285714,23.5714285714,13.75,1.71428571429,2.28571428571,1.71428571429,0.333333333333,0.571428571429,1.0,0.428571428571,1.42857142857,0.833333333333,3.85714285714,2.25
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_040.txt, 156, 19.5,17.3333333333,14.1818181818,1.375,2.0,1.22222222222,0.181818181818,0.222222222222,1.125,0.222222222222,1.11111111111,0.909090909091,2.33333333333,1.90909090909
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_041.txt, 147, 24.5,24.5,11.3076923077,2.16666666667,3.0,2.16666666667,0.461538461538,1.0,1.0,0.666666666667,1.5,0.692307692308,3.83333333333,1.76923076923
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_042.txt, 145, 24.1666666667,24.1666666667,14.5,1.66666666667,2.5,1.66666666667,0.4,0.666666666667,1.0,0.5,1.0,0.6,3.5,2.1
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_043.txt, 143, 23.8333333333,28.6,20.4285714286,1.16666666667,3.0,1.4,0.285714285714,0.4,0.833333333333,0.4,2.0,1.42857142857,3.8,2.71428571429
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_044.txt, 147, 29.4,29.4,18.375,1.6,2.4,1.6,0.625,1.0,1.0,0.6,1.4,0.875,5.2,3.25
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_045.txt, 142, 23.6666666667,17.75,17.75,1.33333333333,1.875,1.0,0.25,0.25,1.33333333333,0.25,0.625,0.625,2.875,2.875
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_046.txt, 154, 25.6666666667,25.6666666667,19.25,1.33333333333,2.16666666667,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.5,1.125,3.83333333333,2.875
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_047.txt, 154, 22.0,22.0,14.0,1.57142857143,2.14285714286,1.57142857143,0.363636363636,0.571428571429,1.0,0.428571428571,1.14285714286,0.727272727273,3.71428571429,2.36363636364
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_048.txt, 142, 23.6666666667,23.6666666667,17.75,1.33333333333,2.0,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.33333333333,1.0,3.16666666667,2.375
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_049.txt, 154, 25.6666666667,25.6666666667,14.0,1.83333333333,2.83333333333,1.83333333333,0.363636363636,0.666666666667,1.0,0.666666666667,1.0,0.545454545455,4.16666666667,2.27272727273
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_050.txt, 153, 25.5,25.5,15.3,1.66666666667,2.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.666666666667,1.33333333333,0.8,5.0,3.0
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_051.txt, 145, 24.1666666667,24.1666666667,18.125,1.33333333333,2.33333333333,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.16666666667,0.875,4.5,3.375
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_052.txt, 151, 25.1666666667,25.1666666667,18.875,1.33333333333,2.0,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.66666666667,1.25,3.66666666667,2.75
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_053.txt, 133, 22.1666666667,22.1666666667,19.0,1.16666666667,2.33333333333,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,1.0,0.857142857143,3.66666666667,3.14285714286
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_054.txt, 143, 23.8333333333,23.8333333333,20.4285714286,1.16666666667,2.16666666667,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,1.66666666667,1.42857142857,3.16666666667,2.71428571429
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_055.txt, 139, 23.1666666667,23.1666666667,19.8571428571,1.16666666667,2.16666666667,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,1.16666666667,1.0,4.16666666667,3.57142857143
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_056.txt, 133, 22.1666666667,22.1666666667,14.7777777778,1.5,2.16666666667,1.5,0.333333333333,0.5,1.0,0.333333333333,1.16666666667,0.777777777778,3.16666666667,2.11111111111
C:\Users\MAC\AppData\Local\Temp\_MEI13~1\sca_parsed_files\AI_057.txt, 156, 22.2857142857,22.2857142857,14.1818181818,1.57142857143,2.14285714286,1.57142857143,0.454545454545,0.714285714286,1.0,0.571428571429,1.28571428571,0.818181818182,3.0,1.90909090909
