New_Filename,Original_Source
AI_001.txt,Applied Linguistics - A Longitudinal Study of Advanced
AI_002.txt,Applied Linguistics - A Longitudinal Study of Grammatical-Gender Marking in French as an Additional Language
AI_003.txt,Applied Linguistics - An Organic Syntactic Complexity Measure
AI_004.txt,Applied Linguistics - Co-constructing Social Justice
AI_005.txt,Applied Linguistics - Critical Race Pedagogy for More Effective and Inclusive World Language Teaching
AI_006.txt,Applied Linguistics - Dynamic Paths of Complexity and Accuracy in Second Language Speech
AI_007.txt,Applied Linguistics - Dynamic Paths of Complexity and Accuracy in Second Language Speech A Longitudinal Case Study of Chinese Learners
AI_008.txt,Applied Linguistics - Eliciting and Measuring L2 Metaphoric Competence
AI_009.txt,Applied Linguistics - Emergence of Proactive Self-Initiated Self-Repair as an Indicator of L2 IC Development
AI_010.txt,Applied Linguistics - International Publishing as A Networked Activity
AI_011.txt,Applied Linguistics - Into Collabs
AI_012.txt,Applied Linguistics - Longitudinal Growth Trajectories of Written Syntactic Complexity The Case of Turkish Learners in an Intensive English Program
AI_013.txt,Applied Linguistics - Making Sense of the Interpreter Role
AI_014.txt,Applied Linguistics - Participation in a Global Hearing Culture
AI_015.txt,Applied Linguistics - Police Call-takers' First Substantive Question Projects the Outcome of the Call
AI_016.txt,Applied Linguistics - Pursuing Testimonial Justice
AI_017.txt,Applied Linguistics - Racialized Trajectories to Catalan Higher Education
AI_018.txt,Applied Linguistics - Researching the Intercultural Intersubjectivity and the Problem with Postpositivism
AI_019.txt,Applied Linguistics - Role Models in Language Learning
AI_020.txt,Applied Linguistics - Supralingualism and the Translatability Industry
AI_021.txt,Applied Linguistics - Towards a Green Applied Linguistics Human–Sea Turtle Semiotic Assemblages in Hawai‘i
AI_022.txt,Applied Linguistics - Translating Culture in Global Times An Introduction
AI_023.txt,Applied Linguistics - Translating Culture in the Global Workplace
AI_024.txt,Applied Linguistics - Translation as a Prime Player in Intercultural Communication
AI_025.txt,Applied Linguistics - Using Character-Grams to Automatically Generate Pseudowords and How to Evaluate Them
AI_026.txt,Applied Linguistics - Whorf in the Wild Naturalistic Evidence from Human Interaction
AI_027.txt,Applied Linguistics - Whose Karate
AI_028.txt,Applied Linguistics - ‘I Was Surprised to See You in a Chinese School’
AI_029.txt,Applied Linguistics - ‘Juntos Somos Fuertes’
AI_030.txt,"Applied Linguistics - ‘Qué barbaridad, son latinos y deberían saber español primero’"
AI_031.txt,English for Specific Purposes - A corpus-based list of commonly used English medical morphemes for students learning English for specific purposes
AI_032.txt,English for Specific Purposes - A genre-based exploration of intertextuality and interdiscursivity in advertorial discourse.txt
AI_033.txt,English for Specific Purposes - A multi-dimensional analysis of the Management's Discussion and Analysis narratives in Chinese and American corporate annual reports
AI_034.txt,English for Specific Purposes - A multi-level contrastive analysis of promotional strategies in specialised discourse
AI_035.txt,English for Specific Purposes - A periphery inside a semi-periphery The uneven participation of Brazilian scholars in the international community
AI_036.txt,English for Specific Purposes - Academic vocabulary in an EAP course Opportunities for incidental learning from printed teaching materials developed in-house
AI_037.txt,English for Specific Purposes - Aligning perceptions with reality Lebanese EMI instructor perceptions of students’ writing proficiency
AI_038.txt,English for Specific Purposes - An analysis of the use of cognitive discourse functions in English-medium history teaching at university
AI_039.txt,English for Specific Purposes - An exploratory analysis of source integration in post-secondary L1 and L2 source-based writing
AI_040.txt,English for Specific Purposes - Analyzing the functions of lexical bundles in undergraduate academic lectures for pedagogical use
