New_Filename,Original_Source
Human_001.txt,Applied Linguistics - A Longitudinal Study of Advanced Learners’ Linguistic Development
Human_002.txt,Applied Linguistics - A Longitudinal Study of Grammatical-Gender Marking in French as an Additional Language
Human_003.txt,Applied Linguistics - An Organic Syntactic Complexity Measure
Human_004.txt,Applied Linguistics - Co-constructing Social Justice
Human_005.txt,Applied Linguistics - Critical Race Pedagogy for More Effective and Inclusive World Language Teaching
Human_006.txt,Applied Linguistics - Dynamic Paths of Complexity and Accuracy in Second Language Speech
Human_007.txt,Applied Linguistics - Dynamic Paths of Complexity and Accuracy in Second Language Speech A Longitudinal Case Study of Chinese Learners
Human_008.txt,Applied Linguistics - Eliciting and Measuring L2 Metaphoric Competence
Human_009.txt,Applied Linguistics - Emergence of Proactive Self-Initiated Self-Repair as an Indicator of L2 IC Development
Human_010.txt,Applied Linguistics - International Publishing as A Networked Activity
Human_011.txt,Applied Linguistics - Into Collabs
Human_012.txt,Applied Linguistics - Longitudinal Growth Trajectories of Written Syntactic Complexity The Case of Turkish Learners in an Intensive English Program
Human_013.txt,Applied Linguistics - Making Sense of the Interpreter Role
Human_014.txt,Applied Linguistics - Participation in a Global Hearing Culture
Human_015.txt,Applied Linguistics - Police Call-takers' First Substantive Question Projects the Outcome of the Call
Human_016.txt,Applied Linguistics - Pursuing Testimonial Justice
Human_017.txt,Applied Linguistics - Racialized Trajectories to Catalan Higher Education
Human_018.txt,Applied Linguistics - Researching the Intercultural Intersubjectivity and the Problem with Postpositivism
Human_019.txt,Applied Linguistics - Role Models in Language Learning
Human_020.txt,Applied Linguistics - Supralingualism and the Translatability Industry
Human_021.txt,Applied Linguistics - Towards a Green Applied Linguistics Human–Sea Turtle Semiotic Assemblages in Hawai‘i
Human_022.txt,Applied Linguistics - Translating Culture in Global Times An Introduction
Human_023.txt,Applied Linguistics - Translating Culture in the Global Workplace
Human_024.txt,Applied Linguistics - Translation as a Prime Player in Intercultural Communication
Human_025.txt,Applied Linguistics - Using Character-Grams to Automatically Generate Pseudowords and How to Evaluate Them
Human_026.txt,Applied Linguistics - Whorf in the Wild Naturalistic Evidence from Human Interaction
Human_027.txt,Applied Linguistics - Whose Karate?
Human_028.txt,Applied Linguistics - ‘I Was Surprised to See You in a Chinese School’
Human_029.txt,Applied Linguistics - ‘Juntos Somos Fuertes’
Human_030.txt,"Applied Linguistics - ‘Qué barbaridad, son latinos y deberían saber español primero’"
Human_031.txt,English for Specific Purposes - A corpus-based list of commonly used English medical morphemes for students learning English for specific purposes
Human_032.txt,English for Specific Purposes - A genre-based exploration of intertextuality and interdiscursivity in advertorial discourse
Human_033.txt,English for Specific Purposes - A multi-dimensional analysis of the Management's Discussion and Analysis narratives in Chinese and American corporate annual reports
Human_034.txt,English for Specific Purposes - A multi-level contrastive analysis of promotional strategies in specialised discourse
Human_035.txt,English for Specific Purposes - A periphery inside a semi-periphery The uneven participation of Brazilian scholars in the international community
Human_036.txt,English for Specific Purposes - Academic vocabulary in an EAP course Opportunities for incidental learning from printed teaching materials developed in-house
Human_037.txt,English for Specific Purposes - Aligning perceptions with reality Lebanese EMI instructor perceptions of students’ writing proficiency
Human_038.txt,English for Specific Purposes - An analysis of the use of cognitive discourse functions in English-medium history teaching at university
Human_039.txt,English for Specific Purposes - An exploratory analysis of source integration in post-secondary L1 and L2 source-based writing
Human_040.txt,English for Specific Purposes - Analyzing the functions of lexical bundles in undergraduate academic lectures for pedagogical use
Human_041.txt,"English for Specific Purposes - Artist’s statements, ‘how to guides’ and the conceptualisation of creative practice"
Human_042.txt,English for Specific Purposes - BELF expert users Making understanding visible in internal BELF meetings through the use of nonverbal communication strategies
Human_043.txt,English for Specific Purposes - Challenges in academic writing Perspectives of Engineering faculty and L2 postgraduate research students
Human_044.txt,English for Specific Purposes - Delivering relevance The emergence of ESP as a discipline
Human_045.txt,English for Specific Purposes - Development of component analysis to support a research-based curriculum for writing engineering research articles
Human_046.txt,English for Specific Purposes - Engaging with the reader in research articles in English Variation across disciplines and linguacultural backgrounds
Human_047.txt,English for Specific Purposes - Engineering students' perceptions of the role of ESP courses in internationalized universities
Human_048.txt,English for Specific Purposes - Exploring the socio-contextual nature of workplace writing Towards preparing learners for the complexities of English L2 writing in the workplace
Human_049.txt,English for Specific Purposes - If it had been conducted with a larger database… A comparison of If-constructions in Chinese L2 learners' theses and published research articles
Human_050.txt,English for Specific Purposes - Parameters of variation in the use of words in empirical research writing
Human_051.txt,English for Specific Purposes - Persuasion strategies for demonstrating topic significance in reports of randomised controlled trials
Human_052.txt,English for Specific Purposes - Pragmatic force modifiers in English-medium master's thesis defenses in Taiwan universities
Human_053.txt,English for Specific Purposes - Promoting discipline-specific genre competence with corpus-based genre analysis activities
Human_054.txt,English for Specific Purposes - Selling research in RA discussion sections through English and Spanish An intercultural rhetoric approach
Human_055.txt,English for Specific Purposes - Temporal change in dissertation macrostructures
Human_056.txt,English for Specific Purposes - The creation and evaluation of a grammar pattern list for the most frequent academic verbs
Human_057.txt,"English for Specific Purposes - The place of language in the theoretical tenets, textbooks, and classroom practices in the ESP genre-based approach to teaching writing"
Human_058.txt,English for Specific Purposes - The project SubESPSKills Subtitling tasks for students of Business English to improve written production skills
Human_059.txt,English for Specific Purposes - Using English as a lingua franca to engage with investors An analysis of Italian and Japanese companies' investor relations communication policies
Human_060.txt,English for Specific Purposes - Variation in interpersonal relations in manuscript reviews with different recommendations
Human_061.txt,Journal of English for Academic Purposes - A review of research on authorial evaluation in English academic writing A methodological perspective
Human_062.txt,Journal of English for Academic Purposes - An Analysis of Citations in Chinese English-major Master’s Theses and Doctoral Dissertations
Human_063.txt,Journal of English for Academic Purposes - Authorial presence in research article abstracts A diachronic investigation of the use of first person pronouns
Human_064.txt,Journal of English for Academic Purposes - Big ideas & sharp focus Researching and developing students’ academic writing across the disciplines
Human_065.txt,Journal of English for Academic Purposes - Critical review of literature The case of the news and views genre
Human_066.txt,Journal of English for Academic Purposes - Effects of explicit instruction on noun phrase production in L2 undergraduate writing
Human_067.txt,Journal of English for Academic Purposes - Examining the effects of comprehensive written corrective feedback on L2 EAP students’ linguistic performance A mixed-methods study
Human_068.txt,"Journal of English for Academic Purposes - Exemplification in research articles Structural, semantic and metadiscursive properties across disciplines"
Human_069.txt,Journal of English for Academic Purposes - Exploring polysemy in the Academic Vocabulary List A lexicographic approach
Human_070.txt,Journal of English for Academic Purposes - Graduate-level research writing instruction Two Chinese EAP teachers’ localized ESP genre-based pedagogy
Human_071.txt,Journal of English for Academic Purposes - Harnessing learner research agendas to continuously explore EAP learners’ needs
Human_072.txt,Journal of English for Academic Purposes - However and other transitions in the Han CH-EN corpus
Human_073.txt,Journal of English for Academic Purposes - International students’ engagement with support in developing source use abilities A longitudinal case study
Human_074.txt,Journal of English for Academic Purposes - Investigating the effects of reducing linguistic complexity on EAL student comprehension in first-year undergraduate assessments
Human_075.txt,Journal of English for Academic Purposes - Let's say Phraseological patterns of say in academic ELF communication
Human_076.txt,Journal of English for Academic Purposes - Local grammars and discourse acts in academic writing A case study of exemplification in Linguistics research articles
Human_077.txt,Journal of English for Academic Purposes - Looking past limiting conditions Prioritizing meaning in EAP
Human_078.txt,Journal of English for Academic Purposes - Measuring the importance of information in student notes An initial venture
