,0,1,2,3,4,mean_importance,nonzero_counts
DESWC,0.015000000000000024,0.0,0.013333333333333364,0.008333333333333304,0.015000000000000024,0.010333333333333344,4
WRDHYPv,0.023333333333333362,0.0,0.0033333333333333435,0.011666666666666626,0.00833333333333336,0.009333333333333338,4
LDTTRa,0.018333333333333358,0.0,0.00833333333333336,0.013333333333333286,0.005000000000000016,0.009000000000000005,4
WRDFRQa,0.020000000000000028,0.0,-0.0016666666666666386,0.013333333333333298,0.01000000000000002,0.008333333333333342,4
PCSYNz,0.020000000000000018,0.0,0.0,0.008333333333333304,0.00833333333333336,0.007333333333333336,3
WRDFRQc,0.023333333333333362,0.0,-0.008333333333333304,0.0,0.01666666666666672,0.006333333333333355,3
auxpass_per_cl,0.015000000000000024,0.0,0.010000000000000031,0.0,0.006666666666666687,0.006333333333333349,3
aux_per_cl,0.025000000000000012,0.0,-0.0033333333333333214,0.0,0.010000000000000031,0.006333333333333345,3
nsubjpass_per_cl,0.013333333333333364,0.0,0.0,0.0,0.00833333333333336,0.004333333333333344,2
PCVERBz,0.016666666666666698,0.0,0.0,0.0,0.003333333333333366,0.004000000000000012,2
PCNARz,0.010000000000000031,0.0,0.0,0.009999999999999964,0.0,0.003999999999999999,2
det_pobj_deps_struct,0.013333333333333353,0.0,0.0,0.004999999999999982,1.1102230246251566e-17,0.0036666666666666688,3
DESSLd,0.010000000000000031,0.0,0.0,0.008333333333333304,0.0,0.0036666666666666666,2
LDMTLD,0.013333333333333374,0.0,0.0033333333333333435,0.008333333333333304,-0.009999999999999964,0.0030000000000000118,4
PCNARp,0.010000000000000031,0.0,0.0,0.004999999999999982,0.0,0.0030000000000000027,2
WRDPRO,0.013333333333333374,0.0,0.0,0.0,0.0,0.002666666666666675,1
dobj_per_cl,0.005000000000000016,0.0,0.0,0.008333333333333304,0.0,0.0026666666666666635,2
DRINF,0.0033333333333333435,0.0,0.0,0.0,0.00833333333333336,0.002333333333333341,2
SYNSTRUTt,0.011666666666666704,0.0,0.0,0.0,0.0,0.002333333333333341,1
PCVERBp,0.006666666666666687,0.0,0.0,0.0,0.003333333333333366,0.002000000000000011,2
RDFRE,0.010000000000000031,0.0,0.0,0.0,0.0,0.002000000000000006,1
PCREFz,0.00833333333333336,0.0,0.0,0.0,0.0,0.0016666666666666718,1
SMINTEp,0.00833333333333336,0.0,0.0,0.0,0.0,0.0016666666666666718,1
LDTTRc,0.0033333333333333435,0.0,0.0,0.004999999999999982,0.0,0.0016666666666666648,2
DESWLlt,0.0,0.0,0.001666666666666683,0.013333333333333286,-0.006666666666666643,0.0016666666666666648,3
prep_nsubj_deps_struct,0.0,0.0,0.0,0.0,0.006666666666666687,0.0013333333333333374,1
CT_T,0.005000000000000016,0.0,0.0,0.0,0.0,0.001000000000000003,1
SYNLE,0.0,0.0,0.0,0.004999999999999982,0.0,0.0009999999999999963,1
SMCAUSlsa,0.0016666666666666718,0.0,0.0,0.0,0.0016666666666666718,0.0006666666666666687,2
DRPVAL,0.0,0.0,0.0,0.0,0.0016666666666666718,0.00033333333333333435,1
LDVOCD,0.0,0.0,0.0,0.0,0.0,0.0,0
DESWLsyd,0.0,0.0,0.0,0.0,0.0,0.0,0
CNCNeg,0.0,0.0,0.0,0.0,0.0,0.0,0
amod_dobj_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
amod_nsubj_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
WRDFAMc,0.0,0.0,0.0,0.0,0.0,0.0,0
WRDPRP3p,0.0,0.0,0.0,0.0,0.0,0.0,0
CNCTemp,0.0,0.0,0.0,0.0,0.0,0.0,0
CP_T,0.0,0.0,0.0,0.0,0.0,0.0,0
WRDADJ,0.0,0.0,0.0,0.0,0.0,0.0,0
CRFCWO1,0.0,0.0,0.0,0.0,0.0,0.0,0
det_nsubj_deps_NN_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
det_nsubj_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
CNCTempx,0.0,0.0,0.0,0.0,0.0,0.0,0
advmod_per_cl,0.0,0.0,0.0,0.0,0.0,0.0,0
det_all_nominal_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
DC_T,0.0,0.0,0.0,0.0,0.0,0.0,0
DC_C,0.0,0.0,0.0,0.0,0.0,0.0,0
C_T,0.0,0.0,0.0,0.0,0.0,0.0,0
C_S,0.0,0.0,0.0,0.0,0.0,0.0,0
RDL2,0.0,0.0,0.0,0.0,0.0,0.0,0
conj_and_pobj_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
av_nsubj_deps_NN,0.0,0.0,0.0,0.0,0.0,0.0,0
DESWLsy,0.0033333333333333435,0.0,-0.011666666666666626,0.0,-0.004999999999999982,-0.002666666666666653,3
