filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_001.txt, 257, 25.7,28.5555555556,23.3636363636,1.1,2.0,1.22222222222,0.181818181818,0.222222222222,0.9,0.222222222222,0.555555555556,0.454545454545,4.0,3.27272727273
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_002.txt, 156, 26.0,26.0,22.2857142857,1.16666666667,1.66666666667,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,1.33333333333,1.14285714286,2.83333333333,2.42857142857
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_003.txt, 295, 29.5,29.5,24.5833333333,1.2,2.1,1.2,0.0833333333333,0.1,1.0,0.1,0.9,0.75,4.0,3.33333333333
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_004.txt, 168, 28.0,24.0,14.0,2.0,1.85714285714,1.71428571429,0.5,0.857142857143,1.16666666667,0.571428571429,0.857142857143,0.5,4.0,2.33333333333
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_005.txt, 143, 20.4285714286,17.875,11.9166666667,1.71428571429,2.125,1.5,0.333333333333,0.5,1.14285714286,0.375,0.625,0.416666666667,2.25,1.5
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_006.txt, 182, 26.0,26.0,14.0,1.85714285714,3.0,1.85714285714,0.461538461538,0.857142857143,1.0,0.714285714286,0.142857142857,0.0769230769231,3.42857142857,1.84615384615
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_007.txt, 169, 21.125,21.125,16.9,1.25,2.875,1.25,0.2,0.25,1.0,0.25,0.375,0.3,2.25,1.8
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_008.txt, 166, 27.6666666667,27.6666666667,15.0909090909,1.83333333333,2.83333333333,1.83333333333,0.545454545455,1.0,1.0,0.833333333333,0.333333333333,0.181818181818,3.66666666667,2.0
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_009.txt, 156, 22.2857142857,22.2857142857,17.3333333333,1.28571428571,1.57142857143,1.28571428571,0.333333333333,0.428571428571,1.0,0.428571428571,0.857142857143,0.666666666667,2.85714285714,2.22222222222
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_010.txt, 223, 22.3,20.2727272727,15.9285714286,1.4,1.90909090909,1.27272727273,0.214285714286,0.272727272727,1.1,0.272727272727,1.27272727273,1.0,2.18181818182,1.71428571429
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_011.txt, 195, 21.6666666667,21.6666666667,17.7272727273,1.22222222222,2.11111111111,1.22222222222,0.181818181818,0.222222222222,1.0,0.222222222222,0.444444444444,0.363636363636,3.22222222222,2.63636363636
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_012.txt, 195, 21.6666666667,21.6666666667,19.5,1.11111111111,2.22222222222,1.11111111111,0.2,0.222222222222,1.0,0.222222222222,0.444444444444,0.4,2.88888888889,2.6
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_013.txt, 307, 30.7,27.9090909091,18.0588235294,1.7,2.45454545455,1.54545454545,0.352941176471,0.545454545455,1.1,0.363636363636,0.727272727273,0.470588235294,3.18181818182,2.05882352941
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_014.txt, 144, 18.0,16.0,10.2857142857,1.75,2.11111111111,1.55555555556,0.357142857143,0.555555555556,1.125,0.555555555556,0.555555555556,0.357142857143,2.44444444444,1.57142857143
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_015.txt, 128, 21.3333333333,21.3333333333,18.2857142857,1.16666666667,1.5,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,0.5,0.428571428571,2.83333333333,2.42857142857
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_016.txt, 247, 35.2857142857,30.875,30.875,1.14285714286,1.875,1.0,0.25,0.25,1.14285714286,0.25,1.375,1.375,4.375,4.375
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_017.txt, 351, 27.0,21.9375,16.7142857143,1.61538461538,2.0625,1.3125,0.285714285714,0.375,1.23076923077,0.3125,0.5,0.380952380952,3.5,2.66666666667
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_018.txt, 196, 24.5,24.5,13.0666666667,1.875,2.75,1.875,0.4,0.75,1.0,0.75,0.625,0.333333333333,3.125,1.66666666667
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_019.txt, 224, 32.0,28.0,11.7894736842,2.71428571429,3.125,2.375,0.578947368421,1.375,1.14285714286,0.75,0.875,0.368421052632,4.25,1.78947368421
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_020.txt, 237, 18.2307692308,16.9285714286,14.8125,1.23076923077,2.0,1.14285714286,0.125,0.142857142857,1.07692307692,0.142857142857,0.785714285714,0.6875,2.14285714286,1.875
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_021.txt, 201, 25.125,25.125,13.4,1.875,2.375,1.875,0.466666666667,0.875,1.0,0.625,0.125,0.0666666666667,3.875,2.06666666667
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_022.txt, 220, 16.9230769231,16.9230769231,14.6666666667,1.15384615385,1.76923076923,1.15384615385,0.133333333333,0.153846153846,1.0,0.153846153846,0.692307692308,0.6,2.23076923077,1.93333333333
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_023.txt, 406, 29.0,25.375,21.3684210526,1.35714285714,2.125,1.1875,0.263157894737,0.3125,1.14285714286,0.125,0.125,0.105263157895,3.3125,2.78947368421
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_024.txt, 182, 22.75,22.75,18.2,1.25,2.0,1.25,0.3,0.375,1.0,0.375,1.0,0.8,3.625,2.9
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_025.txt, 124, 20.6666666667,20.6666666667,15.5,1.33333333333,1.83333333333,1.33333333333,0.25,0.333333333333,1.0,0.0,0.5,0.375,2.16666666667,1.625
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_026.txt, 122, 24.4,24.4,15.25,1.6,2.0,1.6,0.375,0.6,1.0,0.6,0.8,0.5,3.6,2.25
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_027.txt, 191, 27.2857142857,23.875,12.7333333333,2.14285714286,2.375,1.875,0.333333333333,0.625,1.14285714286,0.375,0.375,0.2,3.5,1.86666666667
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_028.txt, 209, 23.2222222222,19.0,14.9285714286,1.55555555556,2.0,1.27272727273,0.142857142857,0.181818181818,1.22222222222,0.181818181818,0.545454545455,0.428571428571,2.18181818182,1.71428571429
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_029.txt, 207, 20.7,18.8181818182,12.1764705882,1.7,2.27272727273,1.54545454545,0.411764705882,0.636363636364,1.1,0.636363636364,0.363636363636,0.235294117647,3.09090909091,2.0
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_030.txt, 200, 22.2222222222,22.2222222222,15.3846153846,1.44444444444,2.44444444444,1.44444444444,0.384615384615,0.555555555556,1.0,0.333333333333,1.0,0.692307692308,2.66666666667,1.84615384615
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_031.txt, 240, 24.0,24.0,11.4285714286,2.1,2.9,2.1,0.52380952381,1.1,1.0,0.7,0.5,0.238095238095,2.8,1.33333333333
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_032.txt, 184, 26.2857142857,30.6666666667,13.1428571429,2.0,2.83333333333,2.33333333333,0.5,1.16666666667,0.857142857143,0.666666666667,0.5,0.214285714286,5.83333333333,2.5
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_033.txt, 246, 24.6,24.6,13.6666666667,1.8,2.6,1.8,0.444444444444,0.8,1.0,0.7,0.7,0.388888888889,4.0,2.22222222222
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_034.txt, 157, 22.4285714286,19.625,12.0769230769,1.85714285714,2.5,1.625,0.384615384615,0.625,1.14285714286,0.5,0.25,0.153846153846,3.0,1.84615384615
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_035.txt, 164, 32.8,27.3333333333,16.4,2.0,2.66666666667,1.66666666667,0.4,0.666666666667,1.2,0.666666666667,0.166666666667,0.1,4.83333333333,2.9
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_036.txt, 204, 34.0,34.0,15.6923076923,2.16666666667,2.66666666667,2.16666666667,0.384615384615,0.833333333333,1.0,0.666666666667,0.166666666667,0.0769230769231,6.16666666667,2.84615384615
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_037.txt, 190, 19.0,21.1111111111,19.0,1.0,1.66666666667,1.11111111111,0.0,0.0,0.9,0.0,0.888888888889,0.8,3.44444444444,3.1
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_038.txt, 146, 29.2,29.2,16.2222222222,1.8,3.0,1.8,0.444444444444,0.8,1.0,0.6,0.8,0.444444444444,3.6,2.0
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_039.txt, 224, 28.0,28.0,22.4,1.25,1.875,1.25,0.3,0.375,1.0,0.25,0.375,0.3,4.875,3.9
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_040.txt, 231, 23.1,21.0,14.4375,1.6,2.45454545455,1.45454545455,0.375,0.545454545455,1.1,0.363636363636,0.727272727273,0.5,3.18181818182,2.1875
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_041.txt, 171, 19.0,19.0,17.1,1.11111111111,1.44444444444,1.11111111111,0.1,0.111111111111,1.0,0.111111111111,0.888888888889,0.8,3.22222222222,2.9
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_042.txt, 287, 20.5,20.5,14.35,1.42857142857,2.21428571429,1.42857142857,0.3,0.428571428571,1.0,0.357142857143,0.642857142857,0.45,2.5,1.75
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_043.txt, 99, 19.8,19.8,19.8,1.0,1.2,1.0,0.0,0.0,1.0,0.0,0.6,0.6,4.4,4.4
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_044.txt, 201, 22.3333333333,16.75,12.5625,1.77777777778,1.66666666667,1.33333333333,0.25,0.333333333333,1.33333333333,0.333333333333,0.583333333333,0.4375,2.75,2.0625
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_045.txt, 175, 19.4444444444,19.4444444444,13.4615384615,1.44444444444,2.11111111111,1.44444444444,0.230769230769,0.333333333333,1.0,0.333333333333,0.222222222222,0.153846153846,2.66666666667,1.84615384615
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_046.txt, 166, 23.7142857143,23.7142857143,16.6,1.42857142857,1.71428571429,1.42857142857,0.3,0.428571428571,1.0,0.428571428571,1.0,0.7,3.71428571429,2.6
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_047.txt, 143, 23.8333333333,23.8333333333,20.4285714286,1.16666666667,1.5,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,0.666666666667,0.571428571429,3.33333333333,2.85714285714
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_048.txt, 248, 22.5454545455,22.5454545455,14.5882352941,1.54545454545,2.36363636364,1.54545454545,0.352941176471,0.545454545455,1.0,0.454545454545,0.636363636364,0.411764705882,3.27272727273,2.11764705882
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_049.txt, 212, 30.2857142857,30.2857142857,16.3076923077,1.85714285714,2.71428571429,1.85714285714,0.461538461538,0.857142857143,1.0,0.571428571429,0.571428571429,0.307692307692,3.42857142857,1.84615384615
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_050.txt, 166, 23.7142857143,20.75,13.8333333333,1.71428571429,1.75,1.5,0.333333333333,0.5,1.14285714286,0.375,0.5,0.333333333333,3.375,2.25
C:\Users\MAC\AppData\Local\Temp\_MEI46~1\sca_parsed_files\abs_051.txt, 154, 22.0,22.0,15.4,1.42857142857,2.14285714286,1.42857142857,0.3,0.428571428571,1.0,0.428571428571,0.428571428571,0.3,3.0,2.1
