filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_0.txt,267,26.7,22.25,14.05263158,1.9,2.25,1.583333333,0.368421053,0.583333333,1.2,0.5,1,0.631578947,3.083333333,1.947368421
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_1.txt,329,32.9,29.90909091,15.66666667,2.1,2.909090909,1.909090909,0.523809524,1,1.1,0.454545455,1.181818182,0.619047619,4.181818182,2.19047619
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_10.txt,209,20.9,19,13.93333333,1.5,2,1.363636364,0.266666667,0.363636364,1.1,0.363636364,1.272727273,0.933333333,2.454545455,1.8
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_100.txt,327,32.7,29.72727273,17.21052632,1.9,2.909090909,1.727272727,0.421052632,0.727272727,1.1,0.545454545,1.181818182,0.684210526,4.909090909,2.842105263
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_101.txt,183,18.3,18.3,13.07142857,1.4,1.5,1.4,0.285714286,0.4,1,0.4,1,0.714285714,2.8,2
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_102.txt,258,28.66666667,25.8,16.125,1.777777778,2.9,1.6,0.375,0.6,1.111111111,0.3,0.9,0.5625,4.4,2.75
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_103.txt,267,26.7,26.7,19.07142857,1.4,2.3,1.4,0.285714286,0.4,1,0.4,0.9,0.642857143,3.8,2.714285714
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_104.txt,246,27.33333333,22.36363636,16.4,1.666666667,2.181818182,1.363636364,0.333333333,0.454545455,1.222222222,0.363636364,0.636363636,0.466666667,3.727272727,2.733333333
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_105.txt,255,23.18181818,23.18181818,15,1.545454545,2.090909091,1.545454545,0.411764706,0.636363636,1,0.545454545,0.545454545,0.352941176,3.545454545,2.294117647
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_106.txt,282,31.33333333,31.33333333,21.69230769,1.444444444,2.333333333,1.444444444,0.230769231,0.333333333,1,0.222222222,1.666666667,1.153846154,4,2.769230769
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_107.txt,229,22.9,22.9,15.26666667,1.5,1.8,1.5,0.333333333,0.5,1,0.4,0.9,0.6,3.3,2.2
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_108.txt,287,28.7,28.7,23.91666667,1.2,1.8,1.2,0.166666667,0.2,1,0.2,1.7,1.416666667,3.8,3.166666667
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_109.txt,229,22.9,22.9,16.35714286,1.4,2.1,1.4,0.285714286,0.4,1,0.4,0.9,0.642857143,3.3,2.357142857
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_11.txt,230,23,17.69230769,15.33333333,1.5,1.769230769,1.153846154,0.266666667,0.307692308,1.3,0.230769231,1,0.866666667,2.230769231,1.933333333
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_110.txt,250,25,25,15.625,1.6,3,1.6,0.375,0.6,1,0.5,0.6,0.375,3.9,2.4375
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_111.txt,306,30.6,27.81818182,19.125,1.6,2.272727273,1.454545455,0.3125,0.454545455,1.1,0.363636364,1.363636364,0.9375,3.727272727,2.5625
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_112.txt,266,26.6,24.18181818,15.64705882,1.7,2,1.545454545,0.176470588,0.272727273,1.1,0.363636364,0.727272727,0.470588235,3.727272727,2.411764706
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_113.txt,171,17.1,19,14.25,1.2,1.888888889,1.333333333,0.25,0.333333333,0.9,0.222222222,0.777777778,0.583333333,2.666666667,2
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_114.txt,272,27.2,27.2,13.6,2,2.1,2,0.35,0.7,1,0.5,0.5,0.25,3.4,1.7
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_115.txt,266,26.6,24.18181818,16.625,1.6,2.454545455,1.454545455,0.3125,0.454545455,1.1,0.454545455,0.818181818,0.5625,3.454545455,2.375
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_116.txt,263,26.3,26.3,14.61111111,1.8,2.9,1.8,0.388888889,0.7,1,0.5,0.8,0.444444444,3.4,1.888888889
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_117.txt,270,27,24.54545455,18,1.5,2.181818182,1.363636364,0.4,0.545454545,1.1,0.545454545,0.909090909,0.666666667,4.454545455,3.266666667
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_118.txt,275,27.5,25,16.17647059,1.7,1.727272727,1.545454545,0.352941176,0.545454545,1.1,0.363636364,1,0.647058824,3.909090909,2.529411765
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_119.txt,245,24.5,22.27272727,17.5,1.4,2.272727273,1.272727273,0.142857143,0.181818182,1.1,0.0909090909091,0.818181818,0.642857143,3.818181818,3
C:\Users\MAC\AppData\Local\Temp\_MEI72~1\sca_parsed_files\chunk_12.txt,290,29,24.16666667,12.08333333,2.4,2.833333333,2,0.416666667,0.833333333,1.2,0.583333333,0.75,0.375,4.166666667,2.083333333
