filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_001.txt,180,25.71428571,20,15,1.714285714,2,1.333333333,0.25,0.333333333,1.285714286,0.333333333,1.111111111,0.833333333,2.555555556,1.916666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_002.txt,198,39.6,33,11.64705882,3.4,4.166666667,2.833333333,0.647058824,1.833333333,1.2,1,0.666666667,0.235294118,4.666666667,1.647058824
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_003.txt,180,30,30,20,1.5,2.166666667,1.5,0.444444444,0.666666667,1,0.333333333,1.666666667,1.111111111,4.666666667,3.111111111
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_004.txt,172,34.4,28.66666667,21.5,1.6,2,1.333333333,0.25,0.333333333,1.2,0.333333333,0.833333333,0.625,4.166666667,3.125
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_005.txt,172,28.66666667,28.66666667,21.5,1.333333333,2.333333333,1.333333333,0.25,0.333333333,1,0.333333333,0.833333333,0.625,5.666666667,4.25
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_006.txt,198,28.28571429,28.28571429,18,1.571428571,2.428571429,1.571428571,0.363636364,0.571428571,1,0.571428571,0.714285714,0.454545455,5,3.181818182
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_007.txt,199,28.42857143,28.42857143,13.26666667,2.142857143,2.285714286,2.142857143,0.466666667,1,1,0.428571429,0.857142857,0.4,4.571428571,2.133333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_008.txt,203,33.83333333,22.55555556,11.27777778,3,2.777777778,2,0.388888889,0.777777778,1.5,0.777777778,0.777777778,0.388888889,3.777777778,1.888888889
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_009.txt,187,20.77777778,20.77777778,15.58333333,1.333333333,1.888888889,1.333333333,0.25,0.333333333,1,0.222222222,0.555555556,0.416666667,3.222222222,2.416666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_010.txt,210,23.33333333,21,14,1.666666667,1.9,1.5,0.333333333,0.5,1.111111111,0.5,0.8,0.533333333,3.2,2.133333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_011.txt,192,27.42857143,27.42857143,10.66666667,2.571428571,3.428571429,2.571428571,0.611111111,1.571428571,1,1,0.142857143,0.0555555555556,5.428571429,2.111111111
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_012.txt,245,27.22222222,27.22222222,17.5,1.555555556,2.222222222,1.555555556,0.357142857,0.555555556,1,0.333333333,1,0.642857143,4.333333333,2.785714286
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_013.txt,193,21.44444444,21.44444444,16.08333333,1.333333333,1.888888889,1.333333333,0.25,0.333333333,1,0.222222222,1.444444444,1.083333333,3.222222222,2.416666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_014.txt,188,18.8,15.66666667,13.42857143,1.4,1.5,1.166666667,0.142857143,0.166666667,1.2,0.166666667,0.583333333,0.5,1.916666667,1.642857143
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_015.txt,183,22.875,22.875,16.63636364,1.375,2.25,1.375,0.272727273,0.375,1,0.375,1.625,1.181818182,3,2.181818182
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_016.txt,192,24,17.45454545,14.76923077,1.625,1.636363636,1.181818182,0.307692308,0.363636364,1.375,0.272727273,1.090909091,0.923076923,2.090909091,1.769230769
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_017.txt,188,26.85714286,20.88888889,11.75,2.285714286,2.333333333,1.777777778,0.375,0.666666667,1.285714286,0.444444444,0.444444444,0.25,4,2.25
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_018.txt,181,30.16666667,30.16666667,15.08333333,2,3.833333333,2,0.416666667,0.833333333,1,0.666666667,1.5,0.75,4.166666667,2.083333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_019.txt,180,30,22.5,22.5,1.333333333,1.5,1,0,0,1.333333333,0,0.75,0.75,3.25,3.25
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_020.txt,189,27,31.5,18.9,1.428571429,3.166666667,1.666666667,0.3,0.5,0.857142857,0.333333333,1.666666667,1,4.5,2.7
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_021.txt,168,28,24,15.27272727,1.833333333,2.857142857,1.571428571,0.363636364,0.571428571,1.166666667,0.714285714,1,0.636363636,3.714285714,2.363636364
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_022.txt,110,55,27.5,27.5,2,2.25,1,0.25,0.25,2,0.5,1,1,4.75,4.75
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_023.txt,184,26.28571429,23,15.33333333,1.714285714,1.75,1.5,0.25,0.375,1.142857143,0.25,1,0.666666667,4,2.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_024.txt,182,30.33333333,26,16.54545455,1.833333333,2.571428571,1.571428571,0.545454545,0.857142857,1.166666667,0.714285714,1,0.636363636,3.428571429,2.181818182
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_025.txt,184,26.28571429,26.28571429,15.33333333,1.714285714,2.571428571,1.714285714,0.416666667,0.714285714,1,0.571428571,1,0.583333333,4.714285714,2.75
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_026.txt,174,29,24.85714286,19.33333333,1.5,2,1.285714286,0.333333333,0.428571429,1.166666667,0.428571429,1.857142857,1.444444444,3.428571429,2.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_027.txt,121,20.16666667,20.16666667,13.44444444,1.5,2,1.5,0.333333333,0.5,1,0.5,0.5,0.333333333,3.833333333,2.555555556
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_028.txt,172,43,34.4,17.2,2.5,3.8,2,0.5,1,1.25,0.6,1.6,0.8,4.8,2.4
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_029.txt,161,32.2,32.2,20.125,1.6,2,1.6,0.375,0.6,1,0.6,2.2,1.375,5.6,3.5
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_030.txt,137,17.125,17.125,10.53846154,1.625,1.875,1.625,0.384615385,0.625,1,0.375,0.5,0.307692308,2.75,1.692307692
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_031.txt,180,25.71428571,22.5,16.36363636,1.571428571,2.5,1.375,0.272727273,0.375,1.142857143,0.25,0.875,0.636363636,3.875,2.818181818
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_032.txt,169,28.16666667,28.16666667,18.77777778,1.5,2.833333333,1.5,0.333333333,0.5,1,0.5,1.166666667,0.777777778,4,2.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_033.txt,186,31,31,26.57142857,1.166666667,2.333333333,1.166666667,0.142857143,0.166666667,1,0.166666667,0.833333333,0.714285714,4.333333333,3.714285714
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_034.txt,181,25.85714286,20.11111111,13.92307692,1.857142857,2,1.444444444,0.384615385,0.555555556,1.285714286,0.444444444,0.444444444,0.307692308,3.555555556,2.461538462
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_035.txt,108,18,18,12,1.5,1.5,1.5,0.333333333,0.5,1,0.5,0.666666667,0.444444444,2.666666667,1.777777778
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_036.txt,164,27.33333333,27.33333333,18.22222222,1.5,2.666666667,1.5,0.444444444,0.666666667,1,0.5,0.5,0.333333333,4.166666667,2.777777778
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_037.txt,127,42.33333333,63.5,25.4,1.666666667,4,2.5,0.6,1.5,0.666666667,1,3,1.2,9.5,3.8
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_038.txt,181,25.85714286,22.625,20.11111111,1.285714286,1.875,1.125,0,0,1.142857143,0,1.25,1.111111111,2.5,2.222222222
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_039.txt,171,24.42857143,24.42857143,14.25,1.714285714,2,1.714285714,0.416666667,0.714285714,1,0.571428571,1.142857143,0.666666667,3.428571429,2
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_040.txt,188,31.33333333,31.33333333,26.85714286,1.166666667,1.833333333,1.166666667,0.142857143,0.166666667,1,0.166666667,1.833333333,1.571428571,5,4.285714286
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_041.txt,208,20.8,20.8,16,1.3,1.5,1.3,0.230769231,0.3,1,0.3,0.8,0.615384615,2.9,2.230769231
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_042.txt,202,25.25,25.25,15.53846154,1.625,2.625,1.625,0.384615385,0.625,1,0.5,0.875,0.538461538,3.5,2.153846154
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_043.txt,200,25,25,18.18181818,1.375,3,1.375,0.272727273,0.375,1,0.375,0.75,0.545454545,3.625,2.636363636
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_044.txt,199,33.16666667,28.42857143,22.11111111,1.5,1.857142857,1.285714286,0.222222222,0.285714286,1.166666667,0.142857143,1.571428571,1.222222222,4.285714286,3.333333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_045.txt,202,28.85714286,25.25,16.83333333,1.714285714,2.375,1.5,0.333333333,0.5,1.142857143,0.625,0.875,0.583333333,3.125,2.083333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_046.txt,140,28,28,15.55555556,1.8,2.4,1.8,0.111111111,0.2,1,0.2,1,0.555555556,4.2,2.333333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_047.txt,168,16.8,18.66666667,14,1.2,1.666666667,1.333333333,0.25,0.333333333,0.9,0.222222222,0.666666667,0.5,2.777777778,2.083333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_048.txt,167,27.83333333,23.85714286,12.84615385,2.166666667,2.142857143,1.857142857,0.230769231,0.428571429,1.166666667,0.428571429,0.285714286,0.153846154,3,1.615384615
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_049.txt,181,22.625,22.625,12.92857143,1.75,1.875,1.75,0.428571429,0.75,1,0.625,0.625,0.357142857,3,1.714285714
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_050.txt,174,29,29,19.33333333,1.5,2.666666667,1.5,0.333333333,0.5,1,0.333333333,1.166666667,0.777777778,4.166666667,2.777777778
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_051.txt,290,26.36363636,26.36363636,14.5,1.818181818,3,1.818181818,0.4,0.727272727,1,0.545454545,0.818181818,0.45,3.272727273,1.8
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_052.txt,204,25.5,22.66666667,17,1.5,2,1.333333333,0.333333333,0.444444444,1.125,0.555555556,0.666666667,0.5,4.888888889,3.666666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_053.txt,181,25.85714286,25.85714286,22.625,1.142857143,1.857142857,1.142857143,0.25,0.285714286,1,0.142857143,1.428571429,1.25,3.857142857,3.375
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_054.txt,183,30.5,26.14285714,14.07692308,2.166666667,2.142857143,1.857142857,0.461538462,0.857142857,1.166666667,0.571428571,0.714285714,0.384615385,3.714285714,2
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_055.txt,185,23.125,23.125,16.81818182,1.375,2.375,1.375,0.181818182,0.25,1,0.125,1.125,0.818181818,3.875,2.818181818
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_056.txt,175,21.875,17.5,12.5,1.75,2.1,1.4,0.285714286,0.4,1.25,0.4,0.5,0.357142857,2.5,1.785714286
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_057.txt,207,29.57142857,29.57142857,17.25,1.714285714,2.571428571,1.714285714,0.416666667,0.714285714,1,0.571428571,1.571428571,0.916666667,4,2.333333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_058.txt,214,30.57142857,26.75,17.83333333,1.714285714,2.875,1.5,0.416666667,0.625,1.142857143,0.625,1,0.666666667,2.875,1.916666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_059.txt,151,21.57142857,18.875,8.388888889,2.571428571,2.5,2.25,0.555555556,1.25,1.142857143,0.5,0.25,0.111111111,3.375,1.5
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_060.txt,208,26,26,16,1.625,3.25,1.625,0.538461538,0.875,1,0.625,1.25,0.769230769,4,2.461538462
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_061.txt,201,25.125,25.125,25.125,1,2.375,1,0.125,0.125,1,0.125,0.5,0.5,4.75,4.75
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_062.txt,202,20.2,20.2,13.46666667,1.5,2,1.5,0.333333333,0.5,1,0.4,0.7,0.466666667,3.4,2.266666667
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_063.txt,152,25.33333333,21.71428571,21.71428571,1.166666667,2.142857143,1,0.142857143,0.142857143,1.166666667,0.142857143,0.714285714,0.714285714,3,3
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_064.txt,170,18.88888889,18.88888889,15.45454545,1.222222222,2,1.222222222,0.363636364,0.444444444,1,0.444444444,0.666666667,0.545454545,3.555555556,2.909090909
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_065.txt,193,27.57142857,27.57142857,19.3,1.428571429,2.285714286,1.428571429,0.4,0.571428571,1,0.428571429,1,0.7,3.714285714,2.6
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_066.txt,201,22.33333333,18.27272727,11.16666667,2,1.727272727,1.636363636,0.388888889,0.636363636,1.222222222,0.636363636,0.545454545,0.333333333,2.272727273,1.388888889
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_067.txt,219,31.28571429,31.28571429,18.25,1.714285714,3,1.714285714,0.5,0.857142857,1,0.714285714,1.142857143,0.666666667,5.142857143,3
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_068.txt,175,29.16666667,29.16666667,19.44444444,1.5,2,1.5,0.333333333,0.5,1,0.333333333,1.833333333,1.222222222,5,3.333333333
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_069.txt,165,27.5,27.5,16.5,1.666666667,2.666666667,1.666666667,0.4,0.666666667,1,0.666666667,0.666666667,0.4,4.166666667,2.5
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_070.txt,208,29.71428571,29.71428571,16,1.857142857,3.285714286,1.857142857,0.461538462,0.857142857,1,0.571428571,1.285714286,0.692307692,5.142857143,2.769230769
C:\Users\MAC\AppData\Local\Temp\_MEI4282\sca_parsed_files\abs_071.txt,158,26.33333333,26.33333333,14.36363636,1.833333333,2.666666667,1.833333333,0.454545455,0.833333333,1,0.666666667,0.333333333,0.181818182,5.5,3
